name,minPlanTime,maxPlanTime,shortConTimeDriver,shortConTimeVehicle,maxDrivingTime,maxWorkingTime,nbCities,nbTrips,maxPercentCombine,timeWindowRange,nbNodes,nbArcs,maxNbDriverAvailable,maxNbVehicleAvailable,lb,ub,gap(%),totalCost,totalFixedCost,fixedCostForDrivers,fixedCostForVehicles,totalIdleTimeCost,idleTimeCostForDrivers,idleTimeCostForVehicles,changeOverCost,nbDrivers,nbVehicles,elapsedTime(sec),
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,0,41,229,6,6,620370.0,620370.0,0.0,644370.0,624000.0,24000.0,600000.0,20370.0,970.0,19400.0,0.0,6,6,0.001,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,10,41,233,6,6,618585.0,618585.0,0.0,642585.0,624000.0,24000.0,600000.0,18585.0,885.0,17700.0,0.0,6,6,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,20,41,235,6,6,617325.0,617325.0,0.0,641325.0,624000.0,24000.0,600000.0,17325.0,825.0,16500.0,0.0,6,6,0.001,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,30,41,240,6,6,614280.0,614280.0,0.0,638280.0,624000.0,24000.0,600000.0,14280.0,680.0,13600.0,0.0,6,6,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,40,41,242,6,6,513790.0,513790.0,0.0,537790.0,524000.0,24000.0,500000.0,13790.0,590.0,13200.0,0.0,6,5,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,50,41,243,6,6,512325.0,512325.0,0.0,536325.0,524000.0,24000.0,500000.0,12295.0,595.0,11700.0,30.0,6,5,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.0,60,41,247,6,6,511575.0,511575.0,0.0,535575.0,524000.0,24000.0,500000.0,11575.0,475.0,11100.0,0.0,6,5,0.002,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,0,41,231,7,7,623890.0,623890.0,0.0,647890.0,624000.0,24000.0,600000.0,23740.0,1140.0,22600.0,150.0,6,6,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,10,41,236,7,7,622620.0,622620.0,0.0,646620.0,624000.0,24000.0,600000.0,22470.0,1070.0,21400.0,150.0,6,6,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,20,41,238,7,7,621630.0,621630.0,0.0,645630.0,624000.0,24000.0,600000.0,21420.0,1020.0,20400.0,210.0,6,6,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,30,41,242,7,7,620620.0,620620.0,0.0,644620.0,624000.0,24000.0,600000.0,20410.0,1010.0,19400.0,210.0,6,6,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,40,41,246,7,7,617125.0,617125.0,0.0,641125.0,624000.0,24000.0,600000.0,16915.0,815.0,16100.0,210.0,6,6,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,35,0.25,50,41,246,7,7,615910.0,615910.0,0.0,639910.0,624000.0,24000.0,600000.0,15670.0,770.0,14900.0,240.0,6,6,0.004,
