name,nbTasks,maxPercentCombine,nbDrivers(Vehicles)Available,lengthOfDepartureTimeFlexibility,nbDriversInSolution,nbVehiclesInSolution,nbTripsHavePassenger,nbTripsHavePassenger(NormalTrip),nbTripsHavePassenger(CombineTrip),nbTripsPerformedPerDriver,totalWorkTimePerDriver(minute),totalDriveTimePerDriver(minute),totalPassengerTimePerDriver(minute),totalIdleTimePerDriver(minute),shortestIdleTime(minute),longestIdleTime(minute),shortestWorkingTime(minute),longestWorkingTime(minute),nbChangeoversPerDriver,nbChangeoverPerDriver_ChangeStatus,nbChangeoverPerDriver_ChangeVehicle,
nbCities:3; nbDepots:2; size:90 90;nbTrips:120;nbCombinedTrips30;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,120,0.25,27,51,27,20,30,0,30,4.444444444444445,468.7037037037037,221.11111111111111,53.333333333333336,194.25925925925927,15.0,165.0,105.0,540.0,2.0,0.8148148148148148,2.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:120;nbCombinedTrips30;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,120,0.25,27,61,27,20,30,0,30,4.444444444444445,457.962962962963,221.11111111111111,53.333333333333336,183.5185185185185,15.0,155.0,105.0,540.0,1.962962962962963,0.8888888888888888,1.8888888888888888,
nbCities:3; nbDepots:2; size:90 90;nbTrips:150;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,150,0.0,24,1,20,20,0,0,0,7.5,559.0,372.0,0.0,187.0,15.0,75.0,280.0,720.0,0.2,0.0,0.2,
nbCities:3; nbDepots:2; size:90 90;nbTrips:150;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,150,0.0,24,11,24,20,0,0,0,6.25,473.5416666666667,310.0,0.0,163.54166666666666,15.0,65.0,110.0,530.0,1.4166666666666667,0.0,1.4166666666666667,
nbCities:3; nbDepots:2; size:90 90;nbTrips:150;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,150,0.0,24,21,24,19,0,0,0,6.25,465.4166666666667,310.0,0.0,155.41666666666666,15.0,75.0,130.0,520.0,1.5833333333333333,0.0,1.5833333333333333,
nbCities:3; nbDepots:2; size:90 90;nbTrips:150;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,150,0.0,24,31,24,18,0,0,0,6.25,468.3333333333333,310.0,0.0,158.33333333333334,15.0,85.0,135.0,535.0,1.9166666666666667,0.0,1.9166666666666667,
nbCities:3; nbDepots:2; size:90 90;nbTrips:150;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,150,0.0,24,41,24,16,0,0,0,6.25,462.0833333333333,310.0,0.0,152.08333333333334,15.0,95.0,115.0,535.0,1.9166666666666667,0.0,1.9166666666666667,
nbCities:3; nbDepots:2; size:90 90;nbTrips:150;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,150,0.0,24,51,24,15,0,0,0,6.25,455.0,310.0,0.0,145.0,15.0,100.0,105.0,540.0,1.5,0.0,1.5,
nbCities:3; nbDepots:2; size:90 90;nbTrips:150;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,150,0.0,24,61,24,14,0,0,0,6.25,459.1666666666667,310.0,0.0,149.16666666666666,15.0,115.0,105.0,550.0,1.375,0.0,1.375,
nbCities:3; nbDepots:2; size:90 90;nbTrips:150;nbCombinedTrips37;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,150,0.25,34,1,24,29,13,9,4,6.25,529.7916666666666,313.75,27.5,188.54166666666666,15.0,185.0,115.0,720.0,1.8333333333333333,0.5833333333333334,1.7083333333333333,
nbCities:3; nbDepots:2; size:90 90;nbTrips:150;nbCombinedTrips37;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,150,0.25,34,11,34,29,37,0,37,4.411764705882353,476.02941176470586,221.47058823529412,52.05882352941177,202.5,15.0,155.0,110.0,540.0,1.7941176470588236,0.7058823529411765,1.7647058823529411,
nbCities:3; nbDepots:2; size:90 90;nbTrips:150;nbCombinedTrips37;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,150,0.25,34,21,34,28,37,0,37,4.411764705882353,475.29411764705884,221.47058823529412,52.05882352941177,201.76470588235293,15.0,160.0,130.0,540.0,1.8823529411764706,0.7352941176470589,1.8529411764705883,
nbCities:3; nbDepots:2; size:90 90;nbTrips:150;nbCombinedTrips37;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,150,0.25,34,31,34,26,37,0,37,4.411764705882353,471.47058823529414,221.47058823529412,52.05882352941177,197.94117647058823,15.0,170.0,130.0,550.0,1.8823529411764706,0.7058823529411765,1.8235294117647058,
nbCities:3; nbDepots:2; size:90 90;nbTrips:150;nbCombinedTrips37;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,150,0.25,34,41,34,26,37,0,37,4.411764705882353,465.88235294117646,221.47058823529412,52.05882352941177,192.35294117647058,15.0,150.0,105.0,555.0,1.8823529411764706,0.6176470588235294,1.8823529411764706,
nbCities:3; nbDepots:2; size:90 90;nbTrips:150;nbCombinedTrips37;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,150,0.25,34,51,34,25,37,0,37,4.411764705882353,459.70588235294116,221.47058823529412,52.05882352941177,186.1764705882353,15.0,165.0,105.0,535.0,1.7058823529411764,0.5882352941176471,1.6764705882352942,
nbCities:3; nbDepots:2; size:90 90;nbTrips:150;nbCombinedTrips37;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,150,0.25,34,61,34,25,37,0,37,4.411764705882353,456.47058823529414,221.47058823529412,52.05882352941177,182.94117647058823,15.0,150.0,105.0,535.0,1.7352941176470589,0.6470588235294118,1.7058823529411764,
