name,minPlanTime,maxPlanTime,shortConTimeDriver,shortConTimeVehicle,maxDrivingTime,maxWorkingTime,nbCities,nbTrips,maxPercentCombine,timeWindowRange,nbNodes,nbArcs,maxNbDriverAvailable,maxNbVehicleAvailable,lb,ub,gap(%),totalCost,totalFixedCost,fixedCostForDrivers,fixedCostForVehicles,totalIdleTimeCost,idleTimeCostForDrivers,idleTimeCostForVehicles,changeOverCost,nbDrivers,nbVehicles,elapsedTime(sec),
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,30,46,313,8,8,721570.000000004,721570.000000004,0.0,753960.0,732000.0,32000.0,700000.0,21570.0,1070.0,20500.0,390.0,8,7,0.612,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,40,46,316,8,8,719255.0,719255.0,0.0,751615.0,732000.0,32000.0,700000.0,19255.0,855.0,18400.0,360.0,8,7,1.399,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,50,46,318,8,8,718525.0,718525.0,0.0,750795.0,732000.0,32000.0,700000.0,18525.0,925.0,17600.0,270.0,8,7,1.487,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,60,46,325,8,8,616275.0,616275.0,0.0,648515.0,632000.0,32000.0,600000.0,16275.0,675.0,15600.0,240.0,8,6,0.446,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,0,51,368,8,8,531580.0,531580.0,0.0,559880.0,528000.0,28000.0,500000.0,31580.0,1380.0,30200.0,300.0,7,5,0.007,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,10,51,375,8,8,530135.0000000016,530135.0000000015,-2.1959561588450958E-14,550465.0,520000.0,20000.0,500000.0,30135.0,1435.0,28700.0,330.0,5,5,0.264,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,20,51,379,8,8,528045.0,528045.0,0.0,552255.0,524000.0,24000.0,500000.0,28045.0,1245.0,26800.0,210.0,6,5,0.269,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,30,51,385,8,8,527440.0,527440.0,0.0,551530.0,524000.0,24000.0,500000.0,27440.0,1140.0,26300.0,90.0,6,5,2.969,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,40,51,387,8,8,521720.0,521720.0,0.0,545810.0,524000.0,24000.0,500000.0,21720.0,1020.0,20700.0,90.0,6,5,0.341,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,50,51,394,8,8,518480.0,518480.0,0.0,546600.0,528000.0,28000.0,500000.0,18480.0,780.0,17700.0,120.0,7,5,2.156,
