sep=,
name,minPlanTime(min),maxPlanTime(min),shortConTimeDriver(min),shortConTimeVehicle(min),maxDrivingTime(min),maxWorkingTime(min),nbCities,nbTrips,nbTripStartFromDepot,nbNodes,nbArcs,maxPercentCombine,timeWindowRange(min),maxNbDriverAvailable,initialNbColumns,nbColumnsGeneratedByIterations,nbColumnsGeneratedByPostProcess,finalNbColumnsInModel,nbIteration,initialMasterObjectiveValue,finalMasterObjectiveValue,finalLowerBoundMP,finalIntegerObjectiveValue,gap(%),elapsedTime(sec),timeOfSolvingSubPByLabelingAlgorithm(milli sec),timeOfSolRMPByCplex(milli sec),timeOfSolveFinalIntegerProblemByCplex(sec),timePostProcessForRichSchedules(sec),timeForCreatingModelInCG(sec),nbLabelsInTotal,nbLabelsFinalIteration,nbLabelsPerIteration
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,30,19,36,191,0.25,60,6,173,893,6877,7943,10,25050.0,20610.0,20610.0,20725.0,0.5548854041013269,3.0,415.0,170.0,1.0,1.0,0.104,1360286,237456,136028,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,35,23,41,229,0.0,0,6,188,254,0,442,5,24980.0,24970.0,24970.0,24970.0,0.0,0.0,25.0,22.0,0.0,0.0,0.007,62122,19516,12424,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,35,23,41,233,0.0,10,6,188,476,1731,2395,10,24980.0,24885.0,24885.0,24885.0,0.0,0.0,98.0,77.0,0.0,0.0,0.032,368126,66134,36812,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,35,23,41,235,0.0,20,6,188,522,1871,2581,10,24980.0,24825.0,24825.0,24825.0,0.0,0.0,128.0,92.0,0.0,0.0,0.044,517048,92622,51704,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,35,23,41,240,0.0,30,6,188,677,3336,4201,12,24980.0,24680.0,24680.0,24680.0,0.0,0.0,244.0,134.0,0.0,0.0,0.073,1009556,151190,84129,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,35,23,41,242,0.0,40,6,188,691,3758,4637,8,24980.0,24590.0,24590.0,24590.0,0.0,1.0,288.0,109.0,0.0,0.0,0.069,709690,151728,88711,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,35,23,41,243,0.0,50,6,188,972,6267,7427,10,24980.0,24547.5,24547.5,24550.0,0.010183299389002037,2.0,593.0,172.0,0.0,1.0,0.099,1476328,258884,147632,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,35,23,41,247,0.0,60,6,188,1022,7278,8488,8,24980.0,24475.0,24475.0,24475.0,0.0,3.0,1053.0,165.0,0.0,1.0,0.105,1398934,298464,174866,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,35,22,41,231,0.25,0,7,225,238,0,463,4,29285.0,25200.0,25200.0,25200.0,0.0,0.0,20.0,15.0,0.0,0.0,0.006,37774,15178,9443,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,35,22,41,238,0.25,20,7,225,487,2614,3326,10,29285.0,25070.0,25070.0,25070.0,0.0,0.0,121.0,104.0,0.0,0.0,0.051,468316,83108,46831,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,35,22,41,242,0.25,30,7,225,575,2953,3753,7,29285.0,24990.0,24990.0,25000.0,0.04,0.0,119.0,71.0,0.0,0.0,0.04,346416,83736,49488,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,35,22,41,246,0.25,40,7,225,963,5750,6938,14,29285.0,24780.0,24780.0,24825.0,0.18126888217522658,2.0,376.0,253.0,0.0,1.0,0.154,1775936,231250,126852,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,35,22,41,246,0.25,50,7,225,1027,8101,9353,11,29285.0,24720.0,24720.0,24800.0,0.3225806451612903,3.0,489.0,229.0,0.0,1.0,0.142,1585450,256606,144131,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,35,22,41,250,0.25,60,7,225,1418,10722,12365,12,29285.0,20590.0,20590.0,20630.0,0.19389238972370335,5.0,1569.0,318.0,0.0,2.0,0.196,2985434,452058,248786,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,40,26,46,294,0.0,0,7,216,662,0,878,13,29220.0,25470.0,25470.0,25470.0,0.0,0.0,123.0,86.0,0.0,0.0,0.037,553678,79704,42590,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,40,26,46,301,0.0,10,7,216,1001,4382,5599,13,29220.0,25165.0,25165.0,25165.0,0.0,1.0,220.0,143.0,0.0,0.0,0.072,886406,125158,68185,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,40,26,46,304,0.0,20,7,216,1137,6730,8083,14,29220.0,25105.0,25105.0,25105.0,0.0,1.0,348.0,207.0,0.0,0.0,0.111,1454544,194430,103896,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,40,26,46,308,0.0,30,7,216,891,4322,5429,10,29220.0,24900.0,24900.0,24900.0,0.0,1.0,298.0,140.0,0.0,0.0,0.082,1025648,182344,102564,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,20,20,720,540,720,3,40,26,46,312,0.0,40,7,216,931,6299,7446,10,29220.0,24795.0,24795.0,24795.0,0.0,2.0,616.0,174.0,0.0,1.0,0.112,1593010,272624,159301,
