name,minPlanTime,maxPlanTime,shortConTimeDriver,shortConTimeVehicle,maxDrivingTime,maxWorkingTime,nbCities,nbTrips,maxPercentCombine,timeWindowRange,nbNodes,nbArcs,maxNbDriverAvailable,maxNbVehicleAvailable,lb,ub,gap(%),totalCost,totalFixedCost,fixedCostForDrivers,fixedCostForVehicles,totalIdleTimeCost,idleTimeCostForDrivers,idleTimeCostForVehicles,changeOverCost,nbDrivers,nbVehicles,elapsedTime(sec),
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,30,46,313,8,8,720850.0,720850.0,0.0,748440.0,724000.0,24000.0,700000.0,24080.0,1180.0,22900.0,360.0,6,7,0.089,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,40,46,316,8,8,717995.0,717995.0,0.0,746045.0,724000.0,24000.0,700000.0,21715.0,1015.0,20700.0,330.0,6,7,0.145,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,50,46,318,8,8,717110.0,717110.0,0.0,745560.0,724000.0,24000.0,700000.0,21230.0,1030.0,20200.0,330.0,6,7,0.614,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,60,46,325,8,8,614735.0,614735.0,0.0,642755.0,624000.0,24000.0,600000.0,18395.0,895.0,17500.0,360.0,6,6,0.15,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,0,51,368,8,8,531655.0,531655.0,0.0,559655.0,528000.0,28000.0,500000.0,31625.0,1425.0,30200.0,30.0,7,5,0.006,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,10,51,375,8,8,529970.0000000016,529970.0000000015,-2.1966398442729678E-14,557970.0,528000.0,28000.0,500000.0,29970.0,1270.0,28700.0,0.0,7,5,0.1,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,20,51,379,8,8,528000.0,528000.0,0.0,556000.0,528000.0,28000.0,500000.0,27970.0,1170.0,26800.0,30.0,7,5,0.099,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,30,51,385,8,8,527140.0,527140.0,0.0,555140.0,528000.0,28000.0,500000.0,27140.0,940.0,26200.0,0.0,7,5,0.39,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,40,51,387,8,8,521275.00000000244,521275.00000000244,0.0,549275.0,528000.0,28000.0,500000.0,21245.0,845.0,20400.0,30.0,7,5,0.171,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,50,51,394,8,8,518720.0,518720.0,0.0,546720.0,528000.0,28000.0,500000.0,18720.0,720.0,18000.0,0.0,7,5,0.88,
